movie_title,Production Budget,Worldwide Gross,genre,duration,num_critic_for_reviews,actor_1_facebook_likes,imdb_score,weekendTotal,midweekTotal,quarter
Green Lantern,200000000,219535492,Action,123.0,436.0,16000.0,5.6,84300248.0,22794189.0,2
Transformers: Dark of the Moon,195000000,1123790543,Action,154.0,428.0,894.0,6.3,192057372.0,130190646.0,2
Jack the Giant Slayer,195000000,197687603,Adventure,114.0,338.0,979.0,6.3,49780236.0,11610332.0,1
Furious 7,190000000,1516748684,Action,140.0,424.0,26000.0,7.2,273770250.0,54461585.0,2
Star Trek Into Darkness,190000000,467381584,Adventure,132.0,590.0,19000.0,7.8,151761259.0,54007000.0,2
World War Z,190000000,531514650,Action,123.0,654.0,17000.0,7.0,137452025.0,47309706.0,2
The Great Gatsby,190000000,351040419,Drama,143.0,490.0,29000.0,7.3,102335231.0,29922531.0,2
Pacific Rim,190000000,411002906,Action,131.0,575.0,16000.0,7.0,69895098.0,23428182.0,3
The Good Dinosaur,187500000,334342692,Adventure,93.0,298.0,275.0,6.8,78726212.0,33485560.0,4
Iron Man,186000000,585171547,Action,126.0,486.0,21000.0,7.9,243837036.0,50707696.0,2
The Dark Knight,185000000,1001620618,Action,152.0,645.0,23000.0,9.0,358163939.0,122761973.0,3
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786558145,Adventure,122.0,470.0,11000.0,6.2,205865481.0,74078365.0,2
Brave,185000000,554606532,Adventure,93.0,488.0,2000.0,7.2,149790279.0,61597498.0,2
Star Trek Beyond,185000000,336398312,Adventure,122.0,322.0,998.0,7.5,111900290.0,33957402.0,3
Maleficent,180000000,758536735,Adventure,97.0,401.0,11000.0,7.0,160776248.0,57153198.0,2
Rush Hour 3,180000000,256585882,Action,91.0,162.0,268.0,6.2,99503000.0,23682000.0,3
The Legend of Tarzan,180000000,349143061,Adventure,110.0,248.0,11000.0,6.6,82324224.0,30732188.0,3
Hugo,180000000,180047784,Adventure,126.0,682.0,17000.0,7.5,49365628.0,18343516.0,4
Jupiter Ascending,179000000,181982519,Action,127.0,384.0,17000.0,5.4,35994728.0,7851230.0,1
X-Men: Apocalypse,178000000,542742489,Action,144.0,396.0,34000.0,7.3,107902127.0,28404070.0,2
Edge of Tomorrow,178000000,370541256,Action,113.0,585.0,10000.0,7.9,69054478.0,23195204.0,2
The Jungle Book,175000000,963901123,Adventure,106.0,370.0,19000.0,7.8,281258363.0,60980468.0,2
Inside Out,175000000,853707581,Adventure,95.0,536.0,1000.0,8.3,227663894.0,95325718.0,2
Suicide Squad,175000000,746100054,Action,123.0,418.0,10000.0,6.9,238436789.0,61215928.0,3
Up,175000000,731542621,Adventure,96.0,408.0,1000.0,8.3,196834837.0,67752061.0,2
Monsters vs. Aliens,175000000,381687380,Adventure,94.0,219.0,1000.0,6.5,151628516.0,33496514.0,1
G.I. Joe: The Rise of Cobra,175000000,302469017,Action,118.0,250.0,23000.0,5.8,108721019.0,28726682.0,3
Wild Wild West,175000000,221229335,Adventure,106.0,85.0,10000.0,4.8,61926000.0,34930774.0,2
The Mummy: Tomb of the Dragon Emperor,175000000,405760225,Adventure,112.0,264.0,5000.0,5.2,74519060.0,19270260.0,3
Evan Almighty,175000000,174131329,Comedy,96.0,186.0,87000.0,5.4,62503640.0,24462860.0,2
47 Ronin,175000000,151716815,Action,128.0,218.0,18000.0,6.3,17452035.0,18294550.0,4
Guardians of the Galaxy,170000000,771051335,Adventure,121.0,653.0,14000.0,8.1,229103631.0,69001731.0,3
Iron Man 2,170000000,621156389,Adventure,124.0,453.0,21000.0,7.0,242385731.0,47405724.0,2
Captain America: The Winter Soldier,170000000,714401889,Action,136.0,576.0,19000.0,7.8,197038310.0,42549870.0,2
Dawn of the Planet of the Apes,170000000,710644566,Adventure,130.0,521.0,10000.0,7.6,144583491.0,46788283.0,3
Ice Age: Dawn of the Dinosaurs,90000000,859701857,Adventure,94.0,188.0,835.0,7.0,108309722.0,72584176.0,3
What Lies Beneath,90000000,288693989,Thriller/Suspense,130.0,185.0,11000.0,6.6,101955175.0,36843869.0,3
Rio,90000000,487519809,Adventure,96.0,240.0,11000.0,7.0,108019554.0,25588484.0,2
The Departed,90000000,289660619,Drama,151.0,352.0,29000.0,8.5,88805244.0,22578071.0,4
Charlie's Angels,90000000,259736090,Action,94.0,181.0,13000.0,5.5,89005985.0,19643352.0,4
Mulan,90000000,303500000,Adventure,88.0,143.0,2000.0,7.5,65324000.0,31561785.0,2
Tropic Thunder,90000000,191091250,Comedy,121.0,308.0,21000.0,7.0,69753470.0,30968300.0,3
The Girl with the Dragon Tattoo,90000000,239373970,Thriller/Suspense,158.0,517.0,18000.0,7.8,53908008.0,33964304.0,4
Contact,90000000,165900000,Drama,150.0,159.0,11000.0,7.4,64517007.0,23639323.0,3
Alvin and the Chipmunks: The Road Chip,90000000,249520430,Adventure,92.0,70.0,35000.0,5.0,51463965.0,24852487.0,4
Atlantis: The Lost Empire,90000000,186049020,Adventure,95.0,146.0,12000.0,6.8,47820250.0,22122661.0,2
Valkyrie,90000000,203902107,Thriller/Suspense,121.0,269.0,10000.0,7.1,46016112.0,17514830.0,4
Pixels,90000000,244126300,Comedy,106.0,253.0,22000.0,5.6,52281348.0,19059651.0,3
The Haunted Mansion,90000000,155750628,Comedy,88.0,122.0,691.0,4.9,44451640.0,14890411.0,4
Hollow Man,90000000,191200000,Horror,119.0,180.0,833.0,5.7,45720000.0,14268350.0,3
The Interpreter,90000000,162753837,Thriller/Suspense,128.0,227.0,591.0,6.4,55089520.0,11444095.0,2
Percy Jackson: Sea of Monsters,90000000,200859554,Adventure,106.0,183.0,8000.0,5.9,42039899.0,20807608.0,3
Now You See Me 2,90000000,328675540,Thriller/Suspense,129.0,196.0,11000.0,6.9,42998731.0,16513467.0,2
Spy Game,90000000,143049560,Action,114.0,142.0,11000.0,7.0,39677000.0,16442000.0,4
Mission to Mars,90000000,106000000,Adventure,114.0,181.0,3000.0,5.6,44218269.0,9408256.0,1
Bicentennial Man,90000000,87420776,Drama,132.0,93.0,49000.0,6.8,32760653.0,15203689.0,4
K-19: The Widowmaker,90000000,65716126,Action,138.0,136.0,14000.0,6.7,24435897.0,5663704.0,3
Conan the Barbarian,90000000,63356133,Action,129.0,166.0,919.0,6.9,15246250.0,4189112.0,3
The Three Musketeers,90000000,139877913,Adventure,110.0,228.0,14000.0,5.8,15086505.0,4008977.0,4
The Promise,90000000,10044780,Drama,103.0,90.0,489.0,5.6,5902544.0,1697612.0,2
The Nutcracker in 3D,90000000,20466016,Musical,110.0,47.0,887.0,4.4,138360.0,48661.0,4
Cinderella Man,88000000,105021488,Drama,144.0,201.0,680.0,8.0,37067680.0,9358895.0,2
Fantastic Four,87500000,333132750,Action,100.0,369.0,596.0,4.3,102670922.0,31370148.0,3
Seabiscuit,86000000,148715342,Drama,140.0,175.0,12000.0,7.3,77692165.0,25729000.0,3
Cast Away,85000000,427230516,Drama,143.0,221.0,15000.0,7.7,136797594.0,57152385.0,4
Happy Feet,85000000,385000317,Adventure,108.0,206.0,49000.0,6.5,130819911.0,40605940.0,4
Ocean's Eleven,85000000,450728529,Thriller/Suspense,116.0,186.0,11000.0,7.8,116201000.0,42700000.0,4
The Bourne Supremacy,85000000,288587450,Thriller/Suspense,108.0,239.0,13000.0,7.8,117612865.0,36623000.0,3
Air Force One,85000000,315268353,Action,124.0,142.0,11000.0,6.4,118313288.0,36301473.0,3
Divergent,85000000,276014965,Adventure,139.0,459.0,14000.0,6.7,117209410.0,25287069.0,1
Hotel Transylvania,85000000,378505812,Comedy,91.0,256.0,12000.0,7.1,120623955.0,17415919.0,3
Enchanted,85000000,340384141,Romantic Comedy,107.0,222.0,283.0,7.1,78930872.0,32684502.0,4
Safe House,85000000,208542162,Thriller/Suspense,115.0,298.0,18000.0,6.8,93334430.0,23564610.0,1
Ocean's Thirteen,85000000,311744465,Adventure,122.0,238.0,14000.0,6.9,79139724.0,25651050.0,2
It's Complicated,85000000,224614744,Romantic Comedy,120.0,187.0,11000.0,6.6,74842830.0,28462060.0,4
Enemy of the State,85000000,250649836,Action,140.0,81.0,10000.0,7.3,71512309.0,21443321.0,4
Open Season,85000000,191932158,Adventure,83.0,107.0,4000.0,6.2,67356902.0,9219227.0,3
Tower Heist,85000000,150422946,Comedy,104.0,236.0,2000.0,6.2,59535965.0,14484590.0,4
102 Dalmatians,85000000,66941559,Comedy,100.0,84.0,2000.0,4.8,25095000.0,14174195.0,4
Mirror Mirror,85000000,173613482,Adventure,106.0,382.0,8000.0,5.6,46338353.0,13935610.0,1
The Holiday,85000000,205190324,Romantic Comedy,138.0,157.0,14000.0,6.9,32551912.0,17284969.0,4
The Fast and the Furious: Tokyo Drift,85000000,157794205,Action,104.0,158.0,584.0,6.0,42184115.0,13095985.0,2
Memoirs of a Geisha,85000000,161510853,Drama,145.0,229.0,879.0,7.3,20609341.0,13831010.0,4
Enemy at the Gates,85000000,96971293,Drama,131.0,187.0,5000.0,7.6,34892630.0,8878563.0,1
The Rundown,85000000,80831893,Action,104.0,151.0,12000.0,6.7,36484055.0,5801000.0,3
Arthur Christmas,85000000,149717124,Adventure,97.0,190.0,1000.0,7.1,32394570.0,11660229.0,4
Cats & Dogs: The Revenge of Kitty Galore,85000000,114979922,Comedy,82.0,91.0,975.0,4.3,27301158.0,12232701.0,3
Meet Joe Black,85000000,44650003,Drama,178.0,98.0,12000.0,7.1,32635000.0,7311499.0,4
Collateral Damage,85000000,78353508,Action,108.0,135.0,672.0,5.5,27537000.0,5837000.0,1
Zodiac,85000000,83080084,Thriller/Suspense,162.0,377.0,21000.0,7.7,25215275.0,5798332.0,1
The Core,85000000,74132631,Action,135.0,149.0,894.0,5.4,21504352.0,3759000.0,1
Scooby-Doo,84000000,276294164,Comedy,86.0,138.0,4000.0,4.9,96747623.0,31753858.0,2
Nutty Professor II: The Klumps,84000000,166307945,Comedy,109.0,94.0,611.0,4.3,83125674.0,22512803.0,3
RED 2,84000000,137162560,Action,116.0,234.0,13000.0,6.7,36991315.0,12149594.0,3
Click,82500000,237685089,Comedy,107.0,173.0,11000.0,6.4,79863709.0,33306689.0,2
Charlotte's Web,82500000,143985708,Drama,97.0,120.0,12000.0,6.4,41458941.0,24553929.0,4
Jumper,82500000,223636949,Adventure,88.0,238.0,17000.0,6.1,55878145.0,17455505.0,1
Hellboy II: The Golden Army,82500000,160388063,Action,120.0,345.0,3000.0,7.0,54712155.0,14838100.0,3
The Longest Yard,82000000,190320568,Comedy,113.0,134.0,11000.0,6.4,104675775.0,28185896.0,2
The Expendables,82000000,268268174,Action,113.0,424.0,26000.0,6.5,73648597.0,20422180.0,3
The 6th Day,82000000,96024898,Action,123.0,170.0,3000.0,5.9,14795548.0,3345376.0,4
Bruce Almighty,81000000,484468608,Comedy,101.0,191.0,11000.0,6.7,161730930.0,42079000.0,2
The Hunger Games,80000000,677923379,Thriller/Suspense,142.0,673.0,34000.0,7.3,313072406.0,69392927.0,1
The Hangover Part II,80000000,586464305,Comedy,102.0,383.0,14000.0,6.5,156204742.0,72933944.0,2
Mission: Impossible,80000000,457697994,Action,110.0,154.0,10000.0,7.1,45436830.0,18094818.0,2
Hotel Transylvania 2,80000000,470751398,Comedy,89.0,152.0,12000.0,6.7,136721438.0,21188091.0,3
Batman Returns,80000000,266824291,Action,126.0,153.0,920.0,7.0,107234339.0,41122607.0,2
Over the Hedge,80000000,343397247,Comedy,83.0,166.0,13000.0,6.8,101709575.0,26579522.0,2
Lilo & Stitch,80000000,245800000,Adventure,85.0,180.0,1000.0,7.2,84612237.0,38103871.0,2
Deep Impact,80000000,349464664,Adventure,120.0,125.0,11000.0,6.1,99230182.0,18888793.0,2
Grown Ups 2,80000000,247023808,Comedy,101.0,139.0,12000.0,5.4,90709259.0,31230156.0,3
Alvin and the Chipmunks: Chipwrecked,80000000,349088523,Comedy,87.0,91.0,1000.0,4.4,76670443.0,38435241.0,4
Get Smart,80000000,226739416,Comedy,110.0,265.0,13000.0,6.5,86958418.0,31469905.0,2
The Revenant,135000000,532950503,Adventure,156.0,556.0,29000.0,8.1,130637714.0,37249177.0,4
Rango,135000000,245504574,Adventure,107.0,362.0,40000.0,7.2,95912441.0,20176881.0,1
Master and Commander: The Far Side of the World,135000000,212912137,Adventure,138.0,244.0,613.0,7.4,55706205.0,14019000.0,4
Turbo,135000000,286896578,Adventure,96.0,166.0,16000.0,6.5,48406589.0,28273043.0,3
War of the Worlds,132000000,606836535,Action,116.0,401.0,10000.0,6.5,128538731.0,78143663.0,2
Penguins of Madagascar,132000000,367650911,Comedy,92.0,153.0,19000.0,6.7,56718199.0,22324163.0,4
The Hunger Games: Catching Fire,130000000,864868047,Adventure,146.0,502.0,34000.0,7.6,309506672.0,89568047.0,4
Harry Potter and the Prisoner of Azkaban,130000000,796688549,Adventure,142.0,274.0,11000.0,7.8,170745357.0,49375000.0,2
The Bourne Ultimatum,130000000,442161562,Thriller/Suspense,115.0,329.0,13000.0,8.1,158966950.0,43588385.0,3
Kung Fu Panda,130000000,631910531,Adventure,92.0,266.0,11000.0,7.6,146044650.0,51328125.0,2
Ant-Man,130000000,519338048,Action,117.0,517.0,2000.0,7.4,121270408.0,41892388.0,3
Home,130000000,386069390,Adventure,94.0,165.0,17000.0,6.7,131855876.0,33463586.0,1
Puss in Boots,130000000,554987477,Adventure,90.0,246.0,4000.0,6.7,118933451.0,23061196.0,4
Megamind,130000000,321887208,Adventure,95.0,233.0,24000.0,7.3,115845087.0,26332022.0,4
Bad Boys II,130000000,273271982,Action,147.0,94.0,10000.0,6.6,89587868.0,27451000.0,3
Rio 2,130000000,493738435,Adventure,101.0,159.0,688.0,6.4,99152536.0,23777826.0,2
Salt,130000000,290650494,Thriller/Suspense,101.0,330.0,11000.0,6.4,80996533.0,26891928.0,3
Noah,130000000,352831065,Drama,138.0,434.0,12000.0,5.8,77746295.0,17403068.0,1
The Adventures of Tintin,130000000,373993951,Adventure,107.0,440.0,2000.0,7.4,37603864.0,24851847.0,4
After Earth,130000000,251499665,Action,100.0,349.0,10000.0,4.9,44825452.0,11269153.0,2
Australia,130000000,215080810,Drama,165.0,245.0,309.0,6.6,32068389.0,14472692.0,4
R.I.P.D.,130000000,79076678,Action,96.0,208.0,16000.0,5.6,22674990.0,8073305.0,3
Dinosaur,127500000,356148063,Adventure,82.0,145.0,1000.0,6.5,97319466.0,23509941.0,2
Night at the Museum: Secret of the Tomb,127000000,356546621,Adventure,98.0,154.0,49000.0,6.2,67639248.0,34934804.0,4
The Hunger Games: Mockingjay - Part 1,125000000,766652288,Thriller/Suspense,123.0,403.0,34000.0,6.7,247696288.0,69857521.0,4
Harry Potter and the Sorcerer's Stone,125000000,974755371,Adventure,159.0,258.0,11000.0,7.5,225629621.0,65353000.0,4
Pirates of the Caribbean: The Curse of the Black Pearl,125000000,634954103,Adventure,143.0,271.0,40000.0,8.1,173253289.0,93044281.0,3
The Da Vinci Code,125000000,767820459,Thriller/Suspense,174.0,294.0,15000.0,6.6,152802154.0,37795258.0,2
Fast Five,125000000,629969804,Action,132.0,342.0,23000.0,7.3,163521210.0,32522365.0,2
Teenage Mutant Ninja Turtles,125000000,485004754,Adventure,101.0,348.0,833.0,5.9,141001580.0,34585386.0,3
Sherlock Holmes: A Game of Shadows,125000000,535663443,Action,129.0,382.0,21000.0,7.5,112909756.0,48455470.0,4
The Day After Tomorrow,125000000,556319450,Adventure,124.0,239.0,15000.0,6.4,120185835.0,29311000.0,2
Clash of the Titans,125000000,493214888,Action,106.0,344.0,14000.0,5.8,123453570.0,28722263.0,2
Prometheus,125000000,402448265,Adventure,124.0,775.0,13000.0,7.0,90406038.0,25765210.0,2
The Bourne Legacy,125000000,280355920,Thriller/Suspense,135.0,436.0,10000.0,6.7,81892735.0,21934815.0,3
Batman & Robin,125000000,238317814,Action,125.0,183.0,920.0,3.7,74846036.0,23328961.0,2
Total Recall,125000000,211856088,Action,113.0,196.0,605.0,7.5,40962243.0,12621826.0,3
The 13th Warrior,125000000,61698899,Action,102.0,85.0,845.0,6.6,21896000.0,5544693.0,3
How the Grinch Stole Christmas,123000000,345141403,Comedy,110.0,175.0,1000.0,6.0,147537236.0,53894760.0,4
The Perfect Storm,120000000,328711434,Drama,130.0,231.0,784.0,6.4,108782687.0,42939896.0,2
Jason Bourne,120000000,416197059,Action,123.0,267.0,13000.0,7.1,116463880.0,33063235.0,3
Life of Pi,120000000,607987022,Drama,127.0,552.0,774.0,8.0,81759845.0,34383879.0,4
Ghost Rider,120000000,229545589,Action,123.0,276.0,12000.0,5.2,87856869.0,14411680.0,1
Charlie's Angels: Full Throttle,120000000,227200000,Action,107.0,102.0,2000.0,4.8,62591287.0,20746000.0,2
Elysium,120000000,286192091,Action,109.0,476.0,13000.0,6.6,64783576.0,19562836.0,3
Oblivion,120000000,287916633,Thriller/Suspense,124.0,539.0,11000.0,7.0,68783990.0,14851990.0,2
Stuart Little 2,120000000,166000000,Comedy,77.0,71.0,886.0,5.4,38636746.0,16265568.0,3
RoboCop,120000000,242981799,Action,117.0,492.0,10000.0,6.2,40033197.0,13339502.0,1
The Chronicles of Riddick,120000000,107212751,Adventure,134.0,207.0,14000.0,6.7,36841310.0,9096000.0,2
Fantastic Four,120000000,167977596,Action,100.0,369.0,596.0,4.3,41353735.0,10584570.0,3
Speed Racer,120000000,93394462,Action,135.0,284.0,690.0,6.1,34152288.0,6049103.0,2
The Island,120000000,163018913,Action,136.0,257.0,19000.0,6.9,21489779.0,8252467.0,3
Knight and Day,117000000,258751370,Action,117.0,283.0,10000.0,6.3,45572918.0,23140783.0,2
The Wolverine,115000000,416456852,Action,138.0,440.0,20000.0,6.7,94037100.0,27703774.0,3
The Huntsman: Winter's War,115000000,165149302,Action,120.0,231.0,26000.0,6.1,37440030.0,7937065.0,2
Windtalkers,115000000,77628265,Action,153.0,152.0,12000.0,6.0,23494000.0,6340000.0,2
Gulliver's Travels,112000000,232017848,Comedy,85.0,184.0,480.0,4.9,25422325.0,12298585.0,4
Gravity,110000000,695941797,Thriller/Suspense,91.0,738.0,39.0,7.8,198313389.0,54007854.0,4
Night at the Museum,110000000,579446407,Comedy,108.0,179.0,49000.0,6.4,154241960.0,63722161.0,4
San Andreas,110000000,467151160,Adventure,114.0,358.0,12000.0,6.1,112546297.0,31432280.0,2
The Smurfs,110000000,563749323,Adventure,103.0,172.0,383.0,5.5,93504283.0,34873633.0,3
Live Free or Die Hard,110000000,382288147,Action,129.0,354.0,13000.0,7.2,79495514.0,44930025.0,2
Ocean's Twelve,110000000,362989076,Adventure,125.0,198.0,11000.0,6.4,83090839.0,27021000.0,4
Tomorrow Never Dies,110000000,339504276,Action,119.0,160.0,811.0,6.5,75226428.0,30888010.0,4
The Patriot,110000000,215300000,Drama,142.0,192.0,13000.0,7.1,61550225.0,34770845.0,2
300: Rise of an Empire,110000000,330780051,Action,102.0,366.0,6000.0,6.2,79839048.0,19618544.0,1
The Aviator,110000000,208370892,Drama,170.0,267.0,29000.0,7.5,63689000.0,22725000.0,4
The Green Hornet,110000000,229155503,Action,119.0,447.0,11000.0,5.8,75632341.0,13148392.0,1
Real Steel,110000000,263880341,Action,127.0,327.0,20000.0,7.1,64519767.0,11734616.0,4
The Smurfs 2,110000000,348547523,Adventure,105.0,125.0,681.0,5.4,39522364.0,25337327.0,3
Robots,80000000,260700012,Adventure,91.0,163.0,1000.0,6.3,93480058.0,21430000.0,1
Shutter Island,80000000,299461782,Thriller/Suspense,138.0,490.0,29000.0,8.1,97431938.0,22463822.0,1
Something's Gotta Give,80000000,266685242,Romantic Comedy,128.0,145.0,18000.0,6.7,71291846.0,31226000.0,4
Four Christmases,80000000,168311558,Comedy,88.0,141.0,4000.0,5.6,77216480.0,36248907.0,4
Face/Off,80000000,241200000,Action,138.0,155.0,12000.0,7.3,73295564.0,25732391.0,2
Bedtime Stories,80000000,221468935,Comedy,99.0,144.0,11000.0,6.1,61479814.0,20298706.0,4
Road to Perdition,80000000,183354514,Drama,117.0,226.0,15000.0,7.7,69287117.0,22273609.0,3
Eagle Eye,80000000,178066569,Thriller/Suspense,118.0,215.0,3000.0,6.6,79004721.0,16208952.0,3
Con Air,80000000,224117573,Action,123.0,139.0,12000.0,6.8,25814822.0,9066447.0,2
Yogi Bear,80000000,204774690,Adventure,80.0,143.0,3000.0,4.6,61070222.0,28664790.0,4
Cold Mountain,80000000,165173909,Drama,154.0,198.0,22000.0,7.2,54015000.0,25411514.0,4
The Book of Eli,80000000,158750817,Action,118.0,325.0,18000.0,6.9,70167994.0,15473062.0,1
Flubber,80000000,177993801,Comedy,90.0,53.0,49000.0,5.2,49835000.0,22597822.0,4
The Haunting,80000000,180188905,Horror,113.0,167.0,14000.0,4.9,58014000.0,19580879.0,3
Fury,80000000,210253368,Drama,134.0,406.0,11000.0,7.6,60865347.0,18603819.0,4
The Pink Panther,80000000,158926474,Comedy,93.0,147.0,1000.0,5.6,61027741.0,11296781.0,1
Zookeeper,80000000,170805525,Romantic Comedy,102.0,178.0,3000.0,5.2,51592362.0,21304411.0,3
The Day the Earth Stood Still,80000000,233066978,Adventure,104.0,276.0,18000.0,5.5,55729526.0,17442818.0,4
Conspiracy Theory,80000000,142783718,Thriller/Suspense,135.0,80.0,8000.0,6.7,51969141.0,15664380.0,3
Spirit: Stallion of the Cimarron,80000000,106515310,Adventure,83.0,106.0,13000.0,7.0,44453433.0,14609681.0,2
Swordfish,80000000,147080413,Action,99.0,166.0,20000.0,6.5,44333600.0,16329386.0,2
The Manchurian Candidate,80000000,96148711,Thriller/Suspense,129.0,209.0,18000.0,6.6,40513366.0,11693000.0,3
Dj Vu,80000000,181038616,Thriller/Suspense,117.0,19.0,898.0,7.0,37792226.0,14844293.0,4
The Time Machine,80000000,98983590,Adventure,96.0,124.0,891.0,5.9,38471000.0,8595000.0,1
What Dreams May Come,80000000,71485043,Drama,113.0,121.0,49000.0,7.0,37525297.0,8451885.0,4
Mighty Joe Young,80000000,50632037,Adventure,114.0,35.0,9000.0,5.6,23668616.0,9128484.0,4
The Legend of Zorro,80000000,141475336,Adventure,129.0,137.0,2000.0,5.9,35089071.0,5658770.0,4
Little Nicky,80000000,58270391,Comedy,90.0,87.0,11000.0,5.3,22471608.0,3769690.0,4
Surrogates,80000000,119668350,Action,89.0,258.0,13000.0,6.3,28329375.0,6229168.0,3
The Brothers Grimm,80000000,105299638,Adventure,118.0,233.0,13000.0,5.9,25700000.0,5200000.0,3
Thirteen Days,80000000,66554547,Drama,145.0,162.0,981.0,7.3,18058000.0,4896521.0,4
The Last Witch Hunter,80000000,131234406,Action,106.0,202.0,14000.0,6.0,20718596.0,4999248.0,4
Pompeii,80000000,108469033,Drama,105.0,272.0,795.0,5.6,17212391.0,4489893.0,1
Looney Tunes: Back in Action,80000000,54540662,Comedy,91.0,101.0,3000.0,5.7,13208064.0,1353000.0,4
